"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 001,TypeName,String,RSA Full (Signature and Key Exchange)
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 003,Name,String,Microsoft Base DSS Cryptographic Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 003,TypeName,String,DSS Signature
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 012,Name,String,Microsoft RSA SChannel Cryptographic Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 012,TypeName,String,RSA SChannel
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 013,Name,String,Microsoft Enhanced DSS and Diffie-Hellman Cryptographic Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 013,TypeName,String,DSS Signature with Diffie-Hellman Key Exchange
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 018,Name,String,Microsoft DH SChannel Cryptographic Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 018,TypeName,String,Diffie-Hellman SChannel
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 024,Name,String,Microsoft Enhanced RSA and AES Cryptographic Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider Types\Type 024,TypeName,String,RSA Full and AES
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\Default,WeakMd5ThirdPartyAfterTime,Binary,"00C029B8439AC901"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\Default,WeakMd5ThirdPartyFlags,DWord,"88900000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\Default,WeakMd5ThirdPartySha256Allow,MultiString,"01A8F438E1A14A904BA530942BEDBD94708CA654B8DF3C4585F17B60DA6690D1,8421A0182C854C1F4266C95FC8302E217A14C7797FE41F2A87CA6B2734C43F1D,1AD335187A1DC540738FB2EA82B7366678C2EEDCDAE75FEADD6ECD89779CB983,4B480E8EE1B8DFF231005E9DC5D8267227684D07A38BA6FECDB288DE53FB0A3E,E059080EF4409BC0D96FBCBDDEEE6C0AFBE871AD3D68BBA6A743C64631F599C9,26ED148B33F377BA01B68A9A97FEB2391FBED7D51E3F6EB83BEBC2FBA90920B1"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\Default,WeakSha1ThirdPartyFlags,DWord,"80040000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllLogMismatchPinRules\DEFAULT,Dll,MultiString,C:\Windows\SysWOW64\cryptui.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllOpenStoreProv\#16,Dll,String,C:\Windows\SysWOW64\cryptnet.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllOpenStoreProv\#16,FuncName,String,LdapProvOpenStore
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllOpenStoreProv\Ldap,Dll,String,C:\Windows\SysWOW64\cryptnet.dll
